gene_id,gene_symbol,figure3_in_house_FFPE_resistance_group_Sample_GZ23090348_minus_R23104123_minus_R23104123_GZ23090348_minus_R23104123_minus_R23104123_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094716_minus_R23101817_minus_R23101817_GZ23094716_minus_R23101817_minus_R23101817_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094729_minus_R23101831_minus_R23101831_GZ23094729_minus_R23101831_minus_R23101831_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094731_minus_R23101833_minus_R23101833_GZ23094731_minus_R23101833_minus_R23101833_combined,figure3_in_house_FFPE_resistance_group_Sample_GZ23094732_minus_R23101834_minus_R23101834_GZ23094732_minus_R23101834_minus_R23101834_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094709_minus_R23096232_minus_R23096232_GZ23094709_minus_R23096232_minus_R23096232_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094724_minus_R23101825_minus_R23101825_GZ23094724_minus_R23101825_minus_R23101825_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094725_minus_R23101826_minus_R23101826_GZ23094725_minus_R23101826_minus_R23101826_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094741_minus_R23101845_minus_R23101845_GZ23094741_minus_R23101845_minus_R23101845_combined,figure3_in_house_FFPE_sensitive_group_Sample_GZ23094742_minus_R23101846_minus_R23101846_GZ23094742_minus_R23101846_minus_R23101846_combined
ENSG00000218577,ANKRD18FP,0,0,0,0,0,0,0,0,0,0
ENSG00000284209,CCNYL1B,0,0,7,0,0,0,0,0,0,0
ENSG00000260516,CHEK2P7,0,0,0,0,0,0,0,0,0,0
ENSG00000271440,COX8CP1,0,0,1,0,0,0,0,0,0,0
ENSG00000277535,CT47C1,0,0,8,0,0,0,0,0,0,0
ENSG00000274966,DNM1P29,0,0,4,0,0,0,0,0,0,0
ENSG00000260332,DPPA3P11,0,0,3,0,0,0,0,0,0,0
ENSG00000253581,DPPA3P9,0,0,0,0,0,0,0,0,0,0
ENSG00000270990,EIF2AP3,0,0,2,0,0,0,0,0,0,0
ENSG00000002745|WNT16,ENSG00000002745|WNT16,0,0,20,0,0,0,0,0,0,0
ENSG00000006606|CCL26,ENSG00000006606|CCL26,0,0,0,7,0,0,0,0,0,0
ENSG00000008197|TFAP2D,ENSG00000008197|TFAP2D,0,0,19,0,0,0,0,0,0,0
ENSG00000062096|ARSF,ENSG00000062096|ARSF,0,0,14,0,0,0,0,0,0,0
ENSG00000067048|DDX3Y,ENSG00000067048|DDX3Y,0,0,20,0,0,0,0,0,0,0
ENSG00000068985|PAGE1,ENSG00000068985|PAGE1,0,0,0,0,0,0,0,0,0,0
ENSG00000087128|TMPRSS11E,ENSG00000087128|TMPRSS11E,0,0,0,0,0,0,0,0,0,0
ENSG00000088782|DEFB127,ENSG00000088782|DEFB127,0,0,0,0,0,0,0,0,0,0
