"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"novel.906.6",89.5620002977655,-9.88236355272265,1.28500061298568,-7.69055162531102,1.4650199962593e-14,2.42621961580502e-10
"rna-NM_007021.3",2720.68906808643,4.04701019217169,0.561184412143618,7.21155132715264,5.53179885361221e-13,4.58060604073359e-09
"novel.10.6",78.3920351338012,-9.68939942567788,1.46397309770996,-6.61856385259719,3.62705237011181e-11,2.00225381004739e-07
"rna-NM_017817.2",1253.77866937436,3.0721138350966,0.49969208337814,6.14801382148733,7.84591983711445e-10,3.24840696056131e-06
"rna-NM_001085.4",2097.04570666698,-2.08182778834076,0.343654518427457,-6.05790896586225,1.37902397080092e-09,4.56760319608682e-06
"rna-NM_001329798.1",2011.73225975403,4.18743970528288,0.732086465638001,5.71987040032709,1.06605335241432e-08,2.94248492822227e-05
"rna-NM_001078.3",83.3609120363061,3.63041014666957,0.63787776358567,5.69138846643928,1.26010455425676e-08,2.98122736043517e-05
"rna-NM_017645.4",2561.96827978378,1.26020603680723,0.224867347836683,5.60421977192746,2.09195138712225e-08,3.46448069221316e-05
"novel.861.5",94.3235138041318,10.081640023691,1.7949004082616,5.6168241855019,1.94499149101246e-08,3.46448069221316e-05
"novel.874.3",59.3815874404612,-9.28876500234438,1.65263362927757,-5.62058331489045,1.90313784729305e-08,3.46448069221316e-05
"rna-NM_013332.3",4175.09188131495,3.47201672836913,0.622192051311473,5.58029746772033,2.4010758996047e-08,3.6149289066685e-05
"novel.564.4",72.9615482183379,6.45462888818407,1.18497972899684,5.44703738826682,5.12157007103894e-08,7.06819349553966e-05
"rna-XM_017011517.2",9025.97575684651,1.77614276553013,0.329080193631345,5.39729464095267,6.76532384876987e-08,8.61850217380599e-05
"rna-NM_001317134.1",5437.4982522739,2.74186237666938,0.51660903972783,5.30742237517543,1.11186330523965e-07,0.000126153723856096
"rna-NM_001001668.3",445.567663429516,2.52660339030307,0.476497928823377,5.30244359412443,1.14262777479708e-07,0.000126153723856096
"rna-NM_173484.3",239.888226460215,-4.01674630143771,0.778033550651773,-5.16269034680163,2.43425636883973e-07,0.000251960748277217
"rna-XM_011516791.1",17891.2093019914,2.99042083519991,0.582332642913818,5.13524507270747,2.81776594218768e-07,0.000274500128050413
"rna-NM_001628.3",185637.573498252,-2.89303170802,0.567321416740612,-5.09945794861952,3.40627531296669e-07,0.000313396252544674
"rna-NM_006732.2",981.723482312861,-1.87714764571764,0.370402933956279,-5.0678530692719,4.02327767996563e-07,0.000350681587673215
"rna-XM_005264280.2",3864.33465940073,2.15582960934335,0.43011726501109,5.01219035996559,5.38139272198606e-07,0.000358978514048862
"rna-XM_006713868.1",788.57613134665,2.76792679774594,0.551797198099636,5.01620306750116,5.27026253577343e-07,0.000358978514048862
"rna-XM_011513642.1",1674.25203420363,2.23625949190314,0.443913200568682,5.03760529995131,4.71392240717468e-07,0.000358978514048862
"rna-NM_001118890.1",1194.90018504547,0.939239008582254,0.185946501585346,5.05112492342945,4.39215691514634e-07,0.000358978514048862
"rna-NM_001964.2",4054.87538089154,-1.61976513467053,0.323671075535756,-5.00435552354939,5.6049230188308e-07,0.000358978514048862
"rna-NM_001013842.2",1764.3371048823,2.3500313997474,0.466881431820921,5.03346511464776,4.81692506873037e-07,0.000358978514048862
"rna-XM_005258390.1",1496.97723754859,3.2292761614427,0.645429613097827,5.00329717743093,5.63579576430796e-07,0.000358978514048862
"rna-XM_005248269.4",1495.60043250472,2.45064624177976,0.491315960629431,4.98792312515191,6.10318434639649e-07,0.000374351244298786
"rna-NM_020116.4",300.805798711559,1.78187806610997,0.358878495166945,4.96512911781204,6.86553778261877e-07,0.000406072040064105
"rna-NM_018660.2",4045.69769198806,2.15657195336328,0.43645087453349,4.94115621985723,7.76606513767365e-07,0.00044349587843108
"rna-NM_198516.2",269.724518916968,1.94416753830862,0.394683674698849,4.92588790198139,8.39781339270687e-07,0.000463587291988728
"novel.479.3",25.8866832678901,-8.09018917490485,1.64461554518046,-4.91919780195022,8.68996193623275e-07,0.000464240192341776
"rna-NM_006931.2",15218.7337920042,2.79702671307141,0.576777585998402,4.84940257903704,1.23833869411167e-06,0.000640878972286982
"rna-XM_017004745.2",572.62531801577,1.85823907782757,0.386139972001902,4.81234581386051,1.49168948183397e-06,0.00072014895050077
"rna-NM_005450.4",496.783827449392,2.95406529728979,0.6143640634923,4.80833022767911,1.52196203535577e-06,0.00072014895050077
"novel.1148.5",28.9707601836681,-3.58535069266224,0.745186195551701,-4.81134877976076,1.49915140077446e-06,0.00072014895050077
"rna-XM_011540204.2",587.202458651228,2.32273477092305,0.4858705085046,4.78056340170121,1.74804618342701e-06,0.000782416022803641
"rna-NM_032229.2",455.227801861196,2.19041566623703,0.457739510707644,4.78528860847242,1.70741806929865e-06,0.000782416022803641
"rna-NM_003407.3",1185.78695525732,-1.70945211738831,0.358315841879808,-4.77079692714708,1.83498467825857e-06,0.000799715296227373
"rna-NM_201649.3",2440.73873521954,-1.66790132584803,0.35113620522991,-4.75001239121996,2.03404184534329e-06,0.0008475585024793
"rna-NM_003378.3",131.105807414768,-1.85774285065981,0.391209487124311,-4.74871625510833,2.0471191413062e-06,0.0008475585024793
"rna-XM_017015883.1",60.2202070568072,4.74475882776858,1.00025648255228,4.74354219196033,2.10013177207189e-06,0.000848299567738601
"rna-NM_014937.3",812.526181635973,1.65153109681071,0.349673323901466,4.72306860124135,2.32312442171886e-06,0.000916030084478237
"rna-NM_021255.2",1303.60983735666,2.52521837396792,0.537681436628669,4.69649536313056,2.64663240602927e-06,0.00101932277386629
"rna-NM_001033082.2",201.025681069047,3.07835106238917,0.659177809187717,4.66998588162808,3.0122043676749e-06,0.00111736004925636
"rna-NM_001013398.1",3330.32132668015,2.47324122893317,0.529787915037348,4.66836097754102,3.03612114102629e-06,0.00111736004925636
"rna-NM_001099744.1",434.048578169746,-2.78196010386319,0.596800167239004,-4.66145999377558,3.13974104747656e-06,0.00113037503233173
"rna-XM_024451637.1",378.269104075194,1.92445914710383,0.415496653046528,4.6317079403485,3.626615050326e-06,0.00127788025209466
"novel.474.2",129.892779969552,3.90848932330117,0.845719302767227,4.62149712145914,3.80980620940434e-06,0.00131446251320719
"rna-NM_014862.3",540.073178356983,1.62551103196023,0.352588429244825,4.61022227939174,4.02238660520095e-06,0.00135948458303537
"rna-NM_001680.4",382.047969761115,-2.3810488742099,0.517835286113669,-4.59808154843902,4.26399103971372e-06,0.00141231911217398
"rna-NM_152470.2",49.3178968023973,3.91404906736196,0.857044506241041,4.56691459878648,4.94955542390303e-06,0.00160724681127957
"rna-NM_003124.4",1189.16267996708,-0.814124947827955,0.178715895957036,-4.55541429858973,5.22824287656036e-06,0.0016336779297871
"rna-NM_138786.3",759.856716636367,-2.05262060865661,0.450372184297312,-4.557609639812,5.17390834311773e-06,0.0016336779297871
"rna-XM_006721866.3",7908.30267273471,3.19384047542845,0.705366641222011,4.52791539715471,5.95684205897862e-06,0.00179365929706809
"novel.1286.1",118.69203262013,-1.89220933719458,0.417644433445271,-4.53067055529794,5.87967653409167e-06,0.00179365929706809
"rna-NM_001956.4",179.205394407053,4.79450552512471,1.06089346921383,4.51930911468203,6.20417560301851e-06,0.00182092642084792
"novel.44.1",76.6856496746092,2.77510023971772,0.614345537531364,4.51716512969063,6.26730306070476e-06,0.00182092642084792
"rna-XM_005267399.4",1132.13284008441,2.28116982195443,0.506722463026773,4.50181309967683,6.73762185488108e-06,0.00192382337135665
"rna-XM_024453532.1",1875.35261936767,1.43180186783028,0.319735299369289,4.47808506178284,7.531559265066e-06,0.00211407038963997
"rna-NM_012293.2",9622.39543340821,1.17444717647585,0.262722448433693,4.47029625172006,7.81113252192299e-06,0.00215600276159278
"rna-NM_001142393.1",6714.67439550597,2.39751550711237,0.538806798058712,4.44967568291728,8.60000566391199e-06,0.00230909493423048
"novel.618.1",322.010242962807,-3.15549573535394,0.709329106819089,-4.448563727357,8.64464017404081e-06,0.00230909493423048
