transcript_id	BEV_1	BEV_2	BEV_3	CTRL_1	CTRL_2	CTRL_3
novel.63.1	0	11	1	0	1	35
rna-NM_001005484.1	0	0	0	0	0	0
novel.62.1	150	185	213	170	165	173
novel.63.2	115	71	185	88	147	91
novel.63.3	3	10	17	16	3	8
novel.64.1	47	66	77	23	272	113
novel.64.2	26	0	0	50	6	0
novel.65.1	97	110	131	89	168	87
novel.65.2	12	4	15	14	18	33
novel.66.1	22	23	24	32	25	37
novel.1.1	0	0	0	48	519	3
novel.1.4	0	0	0	0	0	0
novel.1.2	88	14	65	11	95	85
novel.1.3	312	96	103	265	26	170
novel.1.5	111	204	142	58	211	184
novel.1.6	4	26	4	131	41	109
novel.67.1	108	112	90	135	221	144
rna-XM_024451962.1	0	0	2	0	0	0
rna-NM_001005221.2	0	0	0	0	0	0
rna-XM_011542538.1	0	1	0	2	2	0
rna-XM_017002409.2	2	3	1	1	1	3
rna-XM_017003008.1	11	11	9	11	27	19
rna-XM_017003065.1	15	64	71	7	4	24
rna-NM_152486.2	155	285	385	201	77	172
rna-NM_015658.3	4229	5514	4370	5115	4886	3668
rna-XM_006710600.3	378	439	431	521	621	465
rna-XM_011542248.2	109	67	71	102	172	44
rna-NM_001291366.1	39	30	36	23	40	22
rna-NM_001142467.1	1147	1152	816	1289	1014	642
novel.2.1	7	7	11	12	11	10
rna-NM_005101.3	21307	11100	10154	25450	22869	14596
rna-NM_001205252.1	2	0	0	3	4	4
rna-XM_011541651.2	490	441	382	738	716	717
rna-XM_017002722.2	3	8	6	10	12	10
rna-XM_011542074.2	2	0	0	0	0	3
rna-NM_001305275.1	34410	45626	51377	37581	30164	45959
rna-XM_024451970.1	21	3	7	19	27	14
rna-XM_024447473.1	7853	8325	8693	10318	10521	11119
rna-NM_080605.3	1640	2021	1692	2665	1681	2485
rna-XM_024446907.1	18	2	17	9	11	12
rna-XM_024453022.1	2365	2114	1790	2956	2746	3334
rna-NM_001130413.3	47	37	54	134	221	146
rna-XM_011540606.2	1774	1196	1434	2246	1574	2532
rna-XM_024453057.1	830	447	409	1115	922	701
rna-XM_011541647.1	2659	2722	2804	3140	2335	2024
rna-NM_001029885.1	2121	1261	1268	2891	2289	2284
rna-XM_017002435.1	10	13	13	21	13	28
rna-NM_001330311.1	4634	3751	3883	6561	5866	6794
rna-NM_001282585.1	2394	275	336	2177	1148	505
rna-XM_024447924.1	2857	3115	2913	4335	3248	3284
rna-XM_011542216.3	698	679	671	728	1552	964
novel.3.1	349	277	284	474	500	669
novel.3.2	321	368	406	604	531	365
rna-NM_017971.3	992	1758	1322	1393	1104	1095
rna-XM_017001324.2	11	48	28	17	5	14
rna-XM_017003066.1	7	0	4	2	0	0
rna-NM_022834.4	1018	119	181	1003	459	277
rna-NM_001114748.1	18	2	5	25	13	7
rna-NM_001039211.2	50	28	26	60	46	28
rna-XM_011542244.1	1362	476	534	1640	2198	1097
rna-NM_018188.4	3371	2470	1924	4272	3823	2806
rna-NM_014188.2	3865	4788	4303	5789	4579	5430
rna-NM_001242659.1	600	110	183	902	906	569
rna-XM_017002615.1	7	5	5	5	4	6
rna-XM_017000349.2	1781	1366	1803	2631	1791	2673
rna-NM_001198994.1	2317	3259	3176	3377	3650	4829
rna-XM_011542490.3	1790	1701	1534	2205	2574	1659
rna-NM_001110781.2	2633	2891	2939	3308	3658	4434
novel.68.1	316	309	364	460	546	602
rna-NM_001313896.1	780	682	620	963	1348	546
rna-NM_182838.2	669	672	810	939	1001	1088
rna-XM_005244729.3	2	2	0	3	2	0
rna-NM_178545.3	112	24	28	111	74	22
rna-XM_017002641.1	14	4	0	16	25	0
rna-XM_017000936.1	30	16	10	26	16	2
rna-NM_001282539.1	16015	22515	17977	20264	19646	23424
rna-XM_017003073.1	16	22	21	21	26	38
rna-XM_017001789.1	1175	172	283	1184	1319	552
novel.69.1	94	101	107	119	77	113
rna-XM_011540914.2	1173	1591	1710	1622	1030	1314
rna-XM_024451328.1	327	210	277	485	510	351
rna-XM_017003076.2	5	7	11	8	15	8
rna-XM_005244775.3	4577	4511	4126	5200	4950	4985
rna-NM_024848.2	75	107	92	114	79	98
rna-XM_017000132.1	4519	5349	4771	5839	4820	4530
rna-NM_153818.1	633	1980	1740	1159	687	1212
rna-XM_024451058.1	9	0	2	10	12	1
